Title,Year,Scopus Source title,Citations,DOI,Journal title,OA model
Functionally graded dry adhesives based on f ilm-terminated silicone foam,2017,International Journal of Adhesion and Adhesives,1,10.1016/j.ijadhadh.2017.02.009,International Journal of Adhesion and Adhesives,Hybrid
A simple consistent test of conditional symmetry in symmetrically trimmed tobit models,2017,Journal of Econometrics,1,10.1016/j.jeconom.2016.12.003,Journal of Econometrics,Hybrid
Repeatability of topographic corneal thickness in keratoconus comparing Visante™ OCT and Oculus Pentacam HR® topographer,2017,Contact Lens and Anterior Eye,1,10.1016/j.clae.2017.05.002,Contact Lens and Anterior Eye,Hybrid
A1curves on log K3 surfaces,2017,Advances in Mathematics,1,10.1016/j.aim.2017.04.020,Advances in Mathematics,Hybrid
Fluid flow investigations within a 37 element CANDU fuel bundle supported by magnetic resonance velocimetry and computational fluid dynamics,2017,International Journal of Heat and Fluid Flow,1,10.1016/j.ijheatfluidflow.2017.04.010,International Journal of Heat and Fluid Flow,Hybrid
Finiteness theorems on hypersurfaces in partial differential-algebraic geometry,2017,Advances in Mathematics,1,10.1016/j.aim.2017.04.008,Advances in Mathematics,Hybrid
Testing homogeneity for multiple nonnegative distributions with excess zero observations,2017,Computational Statistics and Data Analysis,1,10.1016/j.csda.2017.04.011,Computational Statistics and Data Analysis,Hybrid
Measurement of peak impact loads differ between accelerometers – Effects of system operating range and sampling rate,2017,Journal of Biomechanics,1,10.1016/j.jbiomech.2017.04.022,Journal of Biomechanics,Hybrid
A cross-layer optimized storage system for workflow applications,2017,Future Generation Computer Systems,1,10.1016/j.future.2017.02.038,Future Generation Computer Systems,Hybrid
Applications of Polynomial Chaos Expansions in optimization and control of bioreactors based on dynamic metabolic flux balance models,2017,Chemical Engineering Science,1,10.1016/j.ces.2017.03.035,Chemical Engineering Science,Hybrid
Computing conforming partitions of orthogonal polygons with minimum stabbing number,2017,Theoretical Computer Science,1,10.1016/j.tcs.2017.05.035,Theoretical Computer Science,Hybrid
Kinetic study on anaerobic oxidation of methane coupled to denitrification,2017,Enzyme and Microbial Technology,1,10.1016/j.enzmictec.2017.05.005,Enzyme and Microbial Technology,Hybrid
Tourism and gratitude: Valuing acts of kindness,2017,Annals of Tourism Research,1,10.1016/j.annals.2017.05.015,Annals of Tourism Research,Hybrid
The Relationship between Diabetes Care Quality and Diabetes-Related Hospitalizations and the Modifying Role of Comorbidity,2017,Canadian Journal of Diabetes,1,10.1016/j.jcjd.2016.06.006,Canadian Journal of Diabetes,Hybrid
A novel m-trail allocation method for SRLG fault localization in all-optical networks,2017,Optical Switching and Networking,1,10.1016/j.osn.2016.06.001,Optical Switching and Networking,Hybrid
"Decision algorithms for Fibonacci-automatic words, II: Related sequences and avoidability",2017,Theoretical Computer Science,1,10.1016/j.tcs.2016.10.005,Theoretical Computer Science,Hybrid
"Latest Pleistocene advance and collapse of the Matanuska – Knik glacier system, Anchorage Lowland, southern Alaska",2017,Quaternary Science Reviews,1,10.1016/j.quascirev.2016.11.026,Quaternary Science Reviews,Hybrid
Toward developing a standardized Arabic continuous text reading chart,2017,Journal of Optometry,1,10.1016/j.optom.2016.03.003,Journal of Optometry,Open Access
"A review of discrepancy bounds for (t,s) and (t,e,s)-sequences with numerical comparisons",2017,Mathematics and Computers in Simulation,1,10.1016/j.matcom.2014.08.006,Mathematics and Computers in Simulation,Hybrid
Approximating the minimum closest pair distance and nearest neighbor distances of linearly moving points,2017,Computational Geometry: Theory and Applications,1,10.1016/j.comgeo.2016.04.001,Computational Geometry: Theory and Applications,Hybrid
On the Matsumoto–Yor property in free probability,2017,Journal of Mathematical Analysis and Applications,1,10.1016/j.jmaa.2016.08.002,Journal of Mathematical Analysis and Applications,Hybrid
Enhanced question understanding with dynamic memory networks for textual question answering,2017,Expert Systems with Applications,1,10.1016/j.eswa.2017.03.006,Expert Systems With Applications,Hybrid
Developing leading indicators from OHS management audit data: Determining the measurement properties of audit data from the field,2017,Journal of Safety Research,1,10.1016/j.jsr.2017.02.008,Journal of Safety Research,Hybrid
Effectiveness of Switching Smoking-Cessation Medications Following Relapse,2017,American Journal of Preventive Medicine,1,10.1016/j.amepre.2017.01.038,American Journal of Preventive Medicine,Hybrid
The residual protective effects of enactment,2017,Cognition,1,10.1016/j.cognition.2017.03.015,Cognition,Hybrid
The effect of modeled absolute timing variability and relative timing variability on observational learning,2017,Acta Psychologica,1,10.1016/j.actpsy.2017.03.013,Acta Psychologica,Hybrid
Radical Cognitivism? Distinguishing Behavior from Thought,2017,Journal of Applied Research in Memory and Cognition,1,10.1016/j.jarmac.2016.11.001,Journal of Applied Research in Memory and Cognition,Hybrid
Characterization of cashier shoulder and low back muscle demands,2017,International Journal of Industrial Ergonomics,1,10.1016/j.ergon.2017.03.004,International Journal of Industrial Ergonomics,Hybrid
Author response: Letter to the editor: A critical analysis: Why “firm conclusions are not possible”,2017,Environmental Research,1,10.1016/j.envres.2017.03.041,Environmental Research,Hybrid
Density functional theory calculations on the adsorption of monomethylarsonic acid onto hydrated iron (oxyhydr)oxide clusters,2017,Computational and Theoretical Chemistry,1,10.1016/j.comptc.2017.03.033,Computational and Theoretical Chemistry,Hybrid
Synthesis of hydrogen- and methyl-capped long-chain polyynes by intense ultrashort laser pulse irradiation of toluene,2017,Carbon,1,10.1016/j.carbon.2017.03.096,Carbon,Hybrid
Municipal wastewater treatment plant effluent-induced effects on freshwater mussel populations and the role of mussel refugia in recolonizing an extirpated reach,2017,Environmental Pollution,1,10.1016/j.envpol.2017.03.010,Environmental Pollution,Hybrid
Contribution of phosphorus to Georgian Bay from groundwater of a coastal beach town with decommissioned septic systems,2017,Journal of Great Lakes Research,1,10.1016/j.jglr.2017.09.001,Journal of Great Lakes Research,Hybrid
Liquid-phase synthesis of isoprene from MTBE and formalin using cesium salts of silicotungstic acid,2017,Molecular Catalysis,1,10.1016/j.mcat.2017.06.002,Molecular Catalysis,Hybrid
Fatigue performance of prestressed concrete beams using BFRP bars,2017,Construction and Building Materials,1,10.1016/j.conbuildmat.2017.09.086,Construction and Building Materials,Hybrid
Association between fine motor skills and binocular visual function in children with reading difficulties,2017,Human Movement Science,1,10.1016/j.humov.2017.10.014,Human Movement Science,Hybrid
Community Pharmacists’ Perspectives of a Decision Aid for Managing Type 2 Diabetes in Ontario,2017,Canadian Journal of Diabetes,1,10.1016/j.jcjd.2017.09.003,Canadian Journal of Diabetes,Hybrid
"Corrigendum to """"Companion matrix patterns"""" [Linear Algebra Appl. 463 (2014) 255-272]",2017,Linear Algebra and Its Applications,1,10.1016/j.laa.2017.10.017,Linear Algebra and Its Applications,Hybrid
Co-benefits of integrating climate change adaptation and mitigation in the Canadian energy sector,2017,Energy Policy,1,10.1016/j.enpol.2017.09.025,Energy Policy,Hybrid
"Crystal and electronic structure of the new quaternary sulfides TlLnAg2S3 (Ln = Nd, Sm and Gd)",2017,Journal of Solid State Chemistry,1,10.1016/j.jssc.2017.08.028,Journal of Solid State Chemistry,Hybrid
Fire Safety Science: Proceedings of the 12th International Symposium,2017,Fire Safety Journal,1,10.1016/j.firesaf.2017.06.001,Fire Safety Journal,Hybrid
"Utilization of by-product glycerol from bio-diesel plants as feedstock for 2,3-butanediol accumulation and biosynthesis genes response of Klebsiella variicola SW3",2017,Renewable Energy,1,10.1016/j.renene.2017.07.080,Renewable Energy,Hybrid
Two-dimensional mechanistic Solid Oxide Fuel Cell model with revised detailed methane reforming mechanism,2017,Electrochimica Acta,1,10.1016/j.electacta.2017.08.017,Electrochimica Acta,Hybrid
Small town urbanization in Western China: Villager resettlement and integration in Xi'an,2017,Land Use Policy,1,10.1016/j.landusepol.2017.07.033,Land Use Policy,Hybrid
Tuned by experience: How orientation probability modulates early perceptual processing,2017,Vision Research,1,10.1016/j.visres.2017.07.008,Vision Research,Hybrid
The Impact of Economic Conditions on Healthy Dietary Intake: Evidence From Fluctuations in Canadian Unemployment Rates,2017,Journal of Nutrition Education and Behavior,1,10.1016/j.jneb.2017.06.010,Journal of Nutrition Education and Behavior,Hybrid
Topical anaesthetic use prior to rigid gas permeable contact lens fitting,2017,Contact Lens and Anterior Eye,1,10.1016/j.clae.2017.07.005,Contact Lens and Anterior Eye,Hybrid
Photocatalytic degradation using one-dimensional TiO2 and Ag-TiO2 nanobelts under UV-LED controlled periodic illumination,2017,Journal of Environmental Chemical Engineering,1,10.1016/j.jece.2017.08.019,Journal of Environmental Chemical Engineering,Hybrid
"Micro-structured materials: Inhomogeneities and imperfect interfaces in plane micropolar elasticity, a boundary element approach",2017,Engineering Analysis with Boundary Elements,1,10.1016/j.enganabound.2017.07.023,Engineering Analysis with Boundary Elements,Hybrid
Influence of methanol when used as a water-miscible carrier of pharmaceuticals in TiO2photocatalytic degradation experiments,2017,Journal of Environmental Chemical Engineering,1,10.1016/j.jece.2017.08.048,Journal of Environmental Chemical Engineering,Hybrid
Extension of geopolitical supply risk methodology: Characterization model applied to conventional and electric vehicles,2017,Journal of Cleaner Production,1,10.1016/j.jclepro.2017.06.063,Journal of Cleaner Production,Hybrid
Temporal record of osmium concentrations and187Os/188Os in organic-rich mudrocks: Implications for the osmium geochemical cycle and the use of osmium as a paleoceanographic tracer,2017,Geochimica et Cosmochimica Acta,1,10.1016/j.gca.2017.06.046,Geochimica et Cosmochimica Acta,Hybrid
CHSE-214: A model for studying extracellular dsRNA sensing in vitro,2017,Fish and Shellfish Immunology,1,10.1016/j.fsi.2017.07.025,Fish and Shellfish Immunology,Hybrid
"Visibility graphs, dismantlability, and the cops and robbers game",2017,Computational Geometry: Theory and Applications,1,10.1016/j.comgeo.2017.07.001,Computational Geometry: Theory and Applications,Hybrid
Saturation of SERCA's lipid annulus may protect against its thermal inactivation,2017,Biochemical and Biophysical Research Communications,1,10.1016/j.bbrc.2017.01.154,Biochemical and Biophysical Research Communications,Hybrid
Cognitive and behavioural predictors of adolescents’ communicative perspective-taking and social relationships,2017,Journal of Adolescence,1,10.1016/j.adolescence.2017.01.004,Journal of Adolescence,Hybrid
Experimental study on droplet generation in flow focusing devices considering a stratified flow with viscosity contrast,2017,Chemical Engineering Science,1,10.1016/j.ces.2017.01.029,Chemical Engineering Science,Hybrid
Development of a multichannel microfluidic system with Schlieren imaging microscopy for online chip-based moving boundary electrophoresis,2017,Journal of Chromatography A,1,10.1016/j.chroma.2017.01.007,Journal of Chromatography A,Hybrid
Experimental evaluation of a distributed Brillouin sensing system for detection of relative movement of rock blocks in underground mining,2017,International Journal of Rock Mechanics and Mining Sciences,1,10.1016/j.ijrmms.2016.11.008,International Journal of Rock Mechanics and Mining Sciences,Hybrid
"Stability in a scalar differential equation with multiple, distributed time delays",2017,Journal of Mathematical Analysis and Applications,1,10.1016/j.jmaa.2017.01.060,Journal of Mathematical Analysis and Applications,Hybrid
New composite sustainability indices for Cradle-to-Cradle process design: Case study on thinner recovery from waste paint in auto industries,2017,Journal of Cleaner Production,1,10.1016/j.jclepro.2017.07.247,Journal of Cleaner Production,Hybrid
Finite Element Simulation of Concrete Slabs with various Placement and Amount of Shear Bolts,2017,Procedia Engineering,1,10.1016/j.proeng.2017.06.219,Procedia Engineering,Open Access
An empirical model of activity in macaque inferior temporal cortex,2017,Neural Networks,1,10.1016/j.neunet.2016.12.001,Neural Networks,Hybrid
Secure and flexible cloud-assisted association rule mining over horizontally partitioned databases,2017,Journal of Computer and System Sciences,1,10.1016/j.jcss.2016.12.005,Journal of Computer and System Sciences,Hybrid
Exploring the unanticipated effects of multi-sectoral partnerships in chronic disease prevention,2017,Health Policy,1,10.1016/j.healthpol.2016.11.019,Health policy,Hybrid
Efficient fast Fourier transform-based numerical implementation to simulate large strain behavior of polycrystalline materials,2017,International Journal of Plasticity,1,10.1016/j.ijplas.2017.07.001,International Journal of Plasticity,Hybrid
"Peatland water repellency: Importance of soil water content, moss species, and burn severity",2017,Journal of Hydrology,1,10.1016/j.jhydrol.2017.09.036,Journal of Hydrology,Hybrid
Atlantic salmon endothelial cells from the heart were more susceptible than fibroblasts from the bulbus arteriosus to four RNA viruses but protected from two viruses by dsRNA pretreatment,2017,Fish and Shellfish Immunology,1,10.1016/j.fsi.2017.09.001,Fish and Shellfish Immunology,Hybrid
The distribution of lumbar intervertebral angles in upright standing and extension is related to low back pain developed during standing,2017,Clinical Biomechanics,1,10.1016/j.clinbiomech.2017.09.003,Clinical Biomechanics,Hybrid
A flow-through aqueous standard generation system for thin film microextraction investigations of UV filters and biocides partitioning to different environmental compartments,2017,Environmental Pollution,1,10.1016/j.envpol.2017.06.092,Environmental Pollution,Hybrid
AnMBR digestion of mixed WRRF sludges: Impact of digester loading and temperature,2017,Journal of Water Process Engineering,1,10.1016/j.jwpe.2017.07.011,Journal of Water Process Engineering,Hybrid
Significant strengthening of nanocrystalline Ni sub-micron pillar by cyclic loading in elastic regime,2017,Scripta Materialia,0,10.1016/j.scriptamat.2017.07.001,Scripta Materialia,Hybrid
Domains of weak continuity of statistical functionals with a view toward robust statistics,2017,Journal of Multivariate Analysis,0,10.1016/j.jmva.2017.02.005,Journal of Multivariate Analysis,Hybrid
Free subalgebras of graded algebras,2017,Journal of Algebra,0,10.1016/j.jalgebra.2017.04.004,Journal of Algebra,Hybrid
A note on character sums in finite fields,2017,Finite Fields and their Applications,0,10.1016/j.ffa.2017.03.010,Finite Fields and Their Applications,Hybrid
A dual functional wrapping layer for enhanced cyclic performance of high-loading silicon anodes,2017,Electrochimica Acta,0,10.1016/j.electacta.2017.04.036,Electrochimica Acta,Hybrid
TCS SNC Preface,2017,Theoretical Computer Science,0,10.1016/j.tcs.2017.03.023,Theoretical Computer Science,Hybrid
Human papillomavirus-associated oropharyngeal cancer: Prioritizing preventive policies in males,2017,Oral Oncology,0,10.1016/j.oraloncology.2017.04.013,Oral Oncology,Hybrid
Combining chert provenance and least-cost pathway analyses to reconstruct Pre-Dorset and Dorset mobility on southern Baffin Island,2017,Journal of Archaeological Science: Reports,0,10.1016/j.jasrep.2017.06.030,Journal of Archaeological Science: Reports,Hybrid
"Levels and distribution of polybrominated diphenyl ethers in Three Gorges Reservoir, China",2017,Emerging Contaminants,0,10.1016/j.emcon.2017.01.003,Emerging Contaminants,Open Access
Appendicular and whole body lean mass outcomes are associated with finite element analysis-derived bone strength at the distal radius and tibia in adults aged 40 years and older,2017,Bone,0,10.1016/j.bone.2017.06.006,Bone,Hybrid
"“Wind energy is not an issue for government”: Barriers to wind energy development in Newfoundland and Labrador, Canada",2017,Energy Policy,0,10.1016/j.enpol.2017.06.022,Energy Policy,Hybrid
Special purpose entities and bank loan contracting,2017,Journal of Banking and Finance,0,10.1016/j.jbankfin.2016.10.006,Journal of Banking and Finance,Hybrid
Eco-innovation with opportunity of licensing and threat of imitation,2017,Journal of Cleaner Production,0,10.1016/j.jclepro.2017.01.052,Journal of Cleaner Production,Hybrid
Digraphs with Hermitian spectral radius below 2 and their cospectrality with paths,2017,Discrete Mathematics,0,10.1016/j.disc.2017.01.018,Discrete Mathematics,Hybrid
"Author response: Short-Communication: Revisiting conclusions of the report titled “The impact of psychological factors on self-reported sleep disturbance among people living in the vicinity of wind turbines by Jalali et al.”, published in Environmental Re",2017,Environmental Research,0,10.1016/j.envres.2017.02.020,Environmental Research,Hybrid
Diagrammatic approach for constructing multiresolution of primal subdivisions,2017,Computer Aided Geometric Design,0,10.1016/j.cagd.2017.02.002,Computer Aided Geometric Design,Hybrid
Regular dilation on graph products of N,2017,Journal of Functional Analysis,0,10.1016/j.jfa.2017.02.012,Journal of Functional Analysis,Hybrid
Abelian-square-rich words,2017,Theoretical Computer Science,0,10.1016/j.tcs.2017.02.012,Theoretical Computer Science,Hybrid
"The evolution (2010–2015) and engineering mitigation of a rockslide-dammed lake (Hunza River, Pakistan); characterisation by analytical remote sensing",2017,Engineering Geology,0,10.1016/j.enggeo.2017.01.003,Engineering Geology,Hybrid
Hardness of computing clique number and chromatic number for Cayley graphs,2017,European Journal of Combinatorics,0,10.1016/j.ejc.2016.12.005,European Journal of Combinatorics,Hybrid
The impact of processing order on performance: A taxonomy of semi-FIFO policies,2017,Journal of Computer and System Sciences,0,10.1016/j.jcss.2017.04.001,Journal of Computer and System Sciences,Hybrid
On Star Decompositions of Random Regular Graphs,2017,Electronic Notes in Discrete Mathematics,0,10.1016/j.endm.2017.06.057,Electronic Notes in Discrete Mathematics,Hybrid
On the List Coloring Version of Reed's Conjecture,2017,Electronic Notes in Discrete Mathematics,0,10.1016/j.endm.2017.06.058,Electronic Notes in Discrete Mathematics,Hybrid
Homological connectedness of random hypergraphs,2017,Electronic Notes in Discrete Mathematics,0,10.1016/j.endm.2017.06.049,Electronic Notes in Discrete Mathematics,Hybrid
"Exact analysis of the (R,Q) inventory policy in a two-echelon production–inventory system",2017,Operations Research Letters,0,10.1016/j.orl.2017.04.011,Operations Research Letters,Hybrid
Calcium chloride adsorption at liquid-liquid interfaces: A molecular dynamics simulation study,2017,Colloids and Surfaces A: Physicochemical and Engineering Aspects,0,10.1016/j.colsurfa.2017.05.019,Colloids and Surfaces A: Physicochemical and Engineering Aspects,Hybrid
Corrigendum to “Modelling weather effects for impact analysis of residential time-of-use electricity pricing” [Energy Policy (2017) 105 (534–546)] (S0301421517301568) (10.1016/j.enpol.2017.03.015),2017,Energy Policy,0,10.1016/j.enpol.2017.05.026,Energy Policy,Hybrid
Monitoring of thermo-mechanical stress via CMOS sensor array: Effects of warpage and tilt in flip chip thermo-compression bonding,2017,Microelectronics Reliability,0,10.1016/j.microrel.2017.03.001,Microelectronics Reliability,Hybrid
Orthogonal layout with optimal face complexity,2017,Computational Geometry: Theory and Applications,0,10.1016/j.comgeo.2017.02.005,Computational Geometry: Theory and Applications,Hybrid
Nutritional characteristics of the potential aquaculture feed species Boekelovia hooglandii,2017,Aquaculture,0,10.1016/j.aquaculture.2017.03.028,Aquaculture,Hybrid
Optimization of metamorphic buffers for MBE growth of high quality AlInSb/InSb quantum structures: Suppression of hillock formation,2017,Journal of Crystal Growth,0,10.1016/j.jcrysgro.2017.03.043,Journal of Crystal Growth,Hybrid
Conceptual issues related to reversibility and reversible work produced in closed and open flow systems,2017,Education for Chemical Engineers,0,10.1016/j.ece.2017.04.001,Education for Chemical Engineers,Hybrid
Guarding monotone art galleries with sliding cameras in linear time,2017,Journal of Discrete Algorithms,0,10.1016/j.jda.2017.04.005,Journal of Discrete Algorithms,Hybrid
Continuing Education and Personalization of Design Methods to Improve their Acceptance in Practice - An Explorative Study,2017,Procedia CIRP,0,10.1016/j.procir.2017.01.012,Procedia CIRP,Open Access
The predictive ability of investment property fair value adjustments under IFRS and the role of accounting conservatism,2017,Advances in Accounting,0,10.1016/j.adiac.2017.05.002,Advances in Accounting,Hybrid
"The effects of Eriophorum vaginatum on N2O fluxes at a restored, extracted peatland",2017,Ecological Engineering,0,10.1016/j.ecoleng.2017.06.006,Ecological Engineering,Hybrid
Low-discrepancy sequences: Atanassov's methods revisited,2017,Mathematics and Computers in Simulation,0,10.1016/j.matcom.2016.09.001,Mathematics and Computers in Simulation,Hybrid
"Influence of a tundra freeze-thaw cycle on sulfide oxidation and metal leaching in a low sulfur, granitic waste rock",2017,Applied Geochemistry,0,10.1016/j.apgeochem.2016.11.010,Applied Geochemistry,Hybrid
Influence of grain boundary modifier on the strength size-dependence displayed by complex-shaped nanocrystalline nickel pillars,2017,Thin Solid Films,0,10.1016/j.tsf.2016.12.005,Thin Solid Films,Hybrid
Self versus examiner administration of the Ocular Surface Disease Index©,2017,Journal of Optometry,0,10.1016/j.optom.2016.04.006,Journal of Optometry,Open Access
Gating at early cortical processing stages is associated with changes in behavioural performance on a sensory conflict task,2017,Behavioural Brain Research,0,10.1016/j.bbr.2016.09.037,Behavioural Brain Research,Hybrid
Dynamic data structures for approximate Hausdorff distance in the word RAM,2017,Computational Geometry: Theory and Applications,0,10.1016/j.comgeo.2016.08.002,Computational Geometry: Theory and Applications,Hybrid
Extending the Stabilized Supralinear Network model for binocular image processing,2017,Neural Networks,0,10.1016/j.neunet.2017.03.003,Neural Networks,Hybrid
Molecular and ecological characterization of toxic cyanobacteria from the Bay of Quinte (Lake Ontario) and Maumee Bay (Lake Erie),2017,Journal of Great Lakes Research,0,10.1016/j.jglr.2017.03.021,Journal of Great Lakes Research,Hybrid
Point of queue size change analysis of the PH/PH/k system with heterogeneous servers,2017,Operations Research Letters,0,10.1016/j.orl.2017.09.004,Operations Research Letters,Hybrid
Design and simulation of a petcoke gasification polygeneration plant integrated with a bitumen extraction and upgrading facility and net energy analysis,2017,Energy,0,10.1016/j.energy.2017.09.072,Energy,Hybrid
The distribution of zeros of ??(s) and gaps between zeros of ?(s),2017,Advances in Mathematics,0,10.1016/j.aim.2017.09.009,Advances in Mathematics,Hybrid
Diagenetic history and reservoir properties of the Cenomanian-Turonian carbonates in southwestern Iran and the Persian Gulf,2017,Marine and Petroleum Geology,0,10.1016/j.marpetgeo.2017.06.035,Marine and Petroleum Geology,Hybrid
Wicked Dilemmas of Scale and Complexity in the Politics of Degrowth,2017,Ecological Economics,0,10.1016/j.ecolecon.2017.08.008,Ecological Economics,Hybrid
Prediction of higher heating values of combustible solid wastes by pseudo-components and thermal mass coefficients,2017,Thermochimica Acta,0,10.1016/j.tca.2017.10.013,Thermochimica Acta,Hybrid
"Design, Economics and Parameter Uncertainty in Dynamic Operation of Post-combustion CO2Capture Using Piperazine (PZ) and MEA",2017,Energy Procedia,0,10.1016/j.egypro.2017.03.1269,Energy Procedia,Open Access
Analytical Approach for Modeling of Multi Well CO2Injection,2017,Energy Procedia,0,10.1016/j.egypro.2017.03.1472,Energy Procedia,Open Access
Higher intake of fish and fat is associated with lower plasma s-adenosylhomocysteine: a cross-sectional study,2017,Nutrition Research,0,10.1016/j.nutres.2017.09.008,Nutrition Research,Hybrid
A strong Dixmier–Moeglin equivalence for quantum Schubert cells,2017,Journal of Algebra,0,10.1016/j.jalgebra.2017.06.005,Journal of Algebra,Hybrid
Dynamic and perturbative system analysis of granular material in a vibrating screen,2017,Advanced Powder Technology,0,10.1016/j.apt.2017.09.031,Advanced Powder Technology,Hybrid
On the operator homology of the Fourier algebra and its cb-multiplier completion,2017,Journal of Functional Analysis,0,10.1016/j.jfa.2017.06.024,Journal of Functional Analysis,Hybrid
Power series approximations to Fekete polynomials,2017,Journal of Approximation Theory,0,10.1016/j.jat.2017.07.002,Journal of Approximation Theory,Hybrid
Decentering increases approach motivation among distressed individuals,2017,Personality and Individual Differences,0,10.1016/j.paid.2017.07.035,Personality and Individual Differences,Hybrid
An advanced statistical method to analyze condition monitoring data collected from nuclear plant systems,2017,Nuclear Engineering and Design,0,10.1016/j.nucengdes.2017.08.003,Nuclear Engineering and Design,Hybrid
A Local Epsilon Version of Reed's Conjecture,2017,Electronic Notes in Discrete Mathematics,0,10.1016/j.endm.2017.07.028,Electronic Notes in Discrete Mathematics,Hybrid
"Cooperation in watershed management: A field experiment on location, trust, and enforcement",2017,Resource and Energy Economics,0,10.1016/j.reseneeco.2017.07.004,Resource and Energy Economics,Hybrid
On the minimum number of edges in triangle-free 5-critical graphs,2017,European Journal of Combinatorics,0,10.1016/j.ejc.2017.06.026,European Journal of Combinatorics,Hybrid
Corrigendum to “Carbon Nanomaterial-Enhanced Scaffolds for the Creation of Cardiac Tissue Constructs: A New frontier in Cardiac Tissue Engineering” [Carbon 120 (2017) 338–349] (S0008622317304980) (10.1016/j.carbon.2017.05.050)),2017,Carbon,0,10.1016/j.carbon.2017.08.028,Carbon,Hybrid
Significance of stable carbon and bromine isotopes in the source identification of PBDEs,2017,Chemosphere,0,10.1016/j.chemosphere.2017.07.109,Chemosphere,Hybrid
Global motion perception is associated with motor function in 2-year-old children,2017,Neuroscience Letters,0,10.1016/j.neulet.2017.08.062,Neuroscience Letters,Hybrid
Monomolecular films of arborescent polystyrene–graft–poly(2-vinylpyridine) copolymers: Precursors to nanostructured carbon materials,2017,European Polymer Journal,0,10.1016/j.eurpolymj.2017.08.040,European Polymer Journal,Hybrid
Precision based guidelines for sub-maximal normalisation task selection for trunk extensor EMG,2017,Journal of Electromyography and Kinesiology,0,10.1016/j.jelekin.2017.07.001,Journal of Electromyography and Kinesiology,Hybrid
Sensor and Dimensions Effects in Ultrasonic Pulse Velocity Measurements in Mortar Specimens,2017,Procedia Engineering,0,10.1016/j.proeng.2017.06.231,Procedia Engineering,Open Access
ViewDF: Declarative incremental view maintenance for streaming data,2017,Information Systems,0,10.1016/j.is.2017.07.002,Information Systems,Hybrid
A scaling method for generating floor response spectra,2017,Annals of Nuclear Energy,0,10.1016/j.anucene.2017.06.036,Annals of Nuclear Energy,Hybrid
"The effect of risk communication on choice behavior, welfare estimates and choice certainty",2017,Water Resources and Economics,0,10.1016/j.wre.2016.11.004,Water Resources and Economics,Hybrid
Colorimetric enumeration of bacterial contamination in water based on ?-galactosidase gold nanoshell activity,2017,Enzyme and Microbial Technology,0,10.1016/j.enzmictec.2017.01.006,Enzyme and Microbial Technology,Hybrid
Hankel matrices for the period-doubling sequence,2017,Indagationes Mathematicae,0,10.1016/j.indag.2016.11.008,Indagationes Mathematicae,Hybrid
Comparing the metric and strong dimensions of graphs,2017,Discrete Applied Mathematics,0,10.1016/j.dam.2016.12.020,Discrete Applied Mathematics,Hybrid
The absolute continuity of convolutions of orbital measures in symmetric spaces,2017,Journal of Mathematical Analysis and Applications,0,10.1016/j.jmaa.2017.01.027,Journal of Mathematical Analysis and Applications,Hybrid
Logic programming approach to automata-based decision procedures,2017,Journal of Logical and Algebraic Methods in Programming,0,10.1016/j.jlamp.2016.02.005,Journal of Logical and Algebraic Methods in Programming,Hybrid
Special Section on Mobile Content Delivery Networks,2017,Computer Communications,0,10.1016/j.comcom.2017.01.008,Computer Communications,Hybrid
Synthesis and solution behaviour of metal-carbonyl amphiphiles with an Fp (CpFe(CO)2) junction,2017,Journal of Organometallic Chemistry,0,10.1016/j.jorganchem.2017.09.003,Journal of Organometallic Chemistry,Hybrid
Parameter-based conditions for closed-loop system identifiability of ARX models with routine operating data,2017,Journal of the Franklin Institute,0,10.1016/j.jfranklin.2016.10.027,Journal of the Franklin Institute,Hybrid
Risk-neutral valuation of the non-recourse protection in reverse mortgages: A case study for Korea,2017,Emerging Markets Review,0,10.1016/j.ememar.2016.10.002,Emerging Markets Review,Hybrid
On the list update problem with advice,2017,Information and Computation,0,10.1016/j.ic.2016.06.007,Information and Computation,Hybrid
The expansion of immaculate functions in the ribbon basis,2017,Discrete Mathematics,0,10.1016/j.disc.2016.09.025,Discrete Mathematics,Hybrid
Sex and gender-based analysis in pharmacy practice research: A scoping review,2017,Research in Social and Administrative Pharmacy,0,10.1016/j.sapharm.2016.11.007,Research in Social and Administrative Pharmacy,Hybrid
A methodology for secure recovery of spacecrafts based on a trusted hardware platform,2017,Advances in Space Research,0,10.1016/j.asr.2016.11.014,Advances in Space Research,Hybrid
On the theory of function-valued mappings and its application to the processing of hyperspectral images,2017,Signal Processing,0,10.1016/j.sigpro.2016.12.014,Signal Processing,Hybrid
"Orogen-scale L tectonite domain in the Tongbai orogenic belt, central China: Geological setting and origin",2017,Journal of Structural Geology,0,10.1016/j.jsg.2016.11.013,Journal of Structural Geology,Hybrid
External auditors’ evaluation of the internal audit function: An empirical investigation,2017,International Journal of Accounting Information Systems,0,10.1016/j.accinf.2016.12.001,International Journal of Accounting Information Systems,Hybrid
Effects of SO2 on CO2 capture using chilled ammonia solvent,2017,International Journal of Greenhouse Gas Control,0,10.1016/j.ijggc.2017.06.013,International Journal of Greenhouse Gas Control,Hybrid
Isolating automatic photism generation from strategic photism use in grapheme-colour synaesthesia,2017,Consciousness and Cognition,0,10.1016/j.concog.2017.09.003,Consciousness and Cognition,Hybrid
