DOI,publisher,is-referenced-by-count,container-title,subject
10.1063/1.4903122,AIP Publishing LLC,2,,
10.5849/forsci.12-016,Oxford University Press (OUP),2,Forest Science,
10.1136/tobaccocontrol-2014-051887,BMJ,5,Tobacco Control,
10.1016/j.labeco.2016.02.003,Elsevier BV,2,Labour Economics,
10.1039/c7dt03446f,Royal Society of Chemistry (RSC),3,Dalton Transactions,
10.1371/journal.pone.0149928,Public Library of Science (PLoS),2,PLOS ONE,
10.3389/fpsyg.2015.01784,Frontiers Media SA,1,Frontiers in Psychology,
10.1145/2911451.2911510,ACM Press,10,Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval - SIGIR '16,
10.1136/tobaccocontrol-2014-052096,BMJ,4,Tobacco Control,
10.1177/1715163517710959,SAGE Publications,0,Canadian Pharmacists Journal / Revue des Pharmaciens du Canada,
10.1103/physrevd.95.123505,American Physical Society (APS),2,Physical Review D,
10.1177/1715163516641432,SAGE Publications,1,Canadian Pharmacists Journal / Revue des Pharmaciens du Canada,
10.1093/her/cyv063,Oxford University Press (OUP),0,Health Education Research,
10.1093/femsec/fiw239,Oxford University Press (OUP),9,FEMS Microbiology Ecology,
10.3389/fnhum.2016.00532,Frontiers Media SA,5,Frontiers in Human Neuroscience,
10.1515/demo-2017-0005,Walter de Gruyter GmbH,2,Dependence Modeling,
10.2196/mhealth.3250,JMIR Publications Inc.,5,JMIR mHealth and uHealth,
10.3847/1538-4357/aa9375,American Astronomical Society,2,The Astrophysical Journal,
10.1016/j.gpb.2015.03.005,Elsevier BV,2,"Genomics, Proteomics & Bioinformatics",
10.1007/s00125-015-3768-4,Springer Science and Business Media LLC,1,Diabetologia,"Internal Medicine;Endocrinology, Diabetes and Metabolism"
10.24095/hpcdp.37.10.06,Health Promotion and Chronic Disease Prevention Branch (HPCDP) Public Health Agency of Canada,2,Health Promotion and Chronic Disease Prevention in Canada,
10.1371/journal.pcbi.1005864,Public Library of Science (PLoS),3,PLOS Computational Biology,
10.24095/hpcdp.37.9.05,Health Promotion and Chronic Disease Prevention Branch (HPCDP) Public Health Agency of Canada,2,Health Promotion and Chronic Disease Prevention in Canada,
10.1021/acsami.7b12120,American Chemical Society (ACS),8,ACS Applied Materials & Interfaces,
10.1007/s11142-016-9364-0,Springer Nature,4,Review of Accounting Studies,
10.1371/journal.pone.0068613,Public Library of Science (PLoS),3,PLoS ONE,
10.5751/es-09436-220319,"Resilience Alliance, Inc.",2,Ecology and Society,
